Entity,Year,Primary adjusted enrolment ratio (Lee-Lee (2016)),Secondary adjusted enrolment ratio (Lee-Lee (2016)),Tertiary adjusted enrolment ratio (Lee-Lee (2016)),Share of no schooling (Lee-Lee (2016)),Share of primary schooling (Lee-Lee (2016)),Share of secondary schooling (Lee-Lee (2016)),Share of tertiary schooling (Lee-Lee (2016)),Total years of schooling (Lee-Lee (2016)),Years of primary schooling (Lee-Lee (2016)),Years of secondary schooling (Lee-Lee (2016)),Years of tertiary schooling (Lee-Lee (2016)),Male primary adjusted enrolment (Lee-Lee (2016)),Male secondary adjusted enrolment (Lee-Lee (2016)),Male tertiary adjusted enrolment (Lee-Lee (2016)),Female to male years schooling (Lee-Lee (2016)),Regional female to male years schooling (Lee-Lee (2016))
Cote d'Ivoire,1830,0,,,,,,,,,,,,,,,
Cote d'Ivoire,1835,0,,,,,,,,,,,,,,,
Cote d'Ivoire,1840,0,,,,,,,,,,,,,,,
Cote d'Ivoire,1845,0.1,,,,,,,,,,,,,,,
Cote d'Ivoire,1850,0.1,,,,,,,,,,,,,,,
Cote d'Ivoire,1855,0.1,,,,,,,,,,,,,,,
Cote d'Ivoire,1860,0.1,,,,,,,,,,,,,,,
Cote d'Ivoire,1865,0.2,,,,,,,,,,,,,,,
Cote d'Ivoire,1870,0.2,,,,,,0,0.01,,,,,,,,
Cote d'Ivoire,1875,0.3,,,,,,0,0.01,,,,,,,,
Cote d'Ivoire,1880,0.3,,,,,,0,0.01,,,,,,,,
Cote d'Ivoire,1885,0.4,,,,,,0,0.01,,,,,,,,
Cote d'Ivoire,1890,0.6,,,,,,0,0.01,,,,,,,,
Cote d'Ivoire,1895,0.7,,,,,,0,0.02,,,,,,,,
Cote d'Ivoire,1900,1,,,,,,0,0.02,,,,,,,,
Cote d'Ivoire,1905,1.2,,,,,,0,0.02,,,,,,,,
Cote d'Ivoire,1910,1.6,,,,,,0,0.08,,,,,,,,
Cote d'Ivoire,1915,2.1,,,,,,0,0.14,,,,,,,,
Cote d'Ivoire,1920,2.6,,,,,,0,0.19,,,,,,,,
Cote d'Ivoire,1925,3.4,,,,,,0,0.25,,,,,,,,
Cote d'Ivoire,1930,4.3,,,,,,0.1,0.31,,,,,,,,
Cote d'Ivoire,1935,5.5,,,,,,0.1,0.32,,,,,,,,
Cote d'Ivoire,1940,7.1,,,,,,0.2,0.35,,,,,,,,
Cote d'Ivoire,1945,8.9,,,,,,0.3,0.39,,,,,,,,
Cote d'Ivoire,1950,11.3,,,,,,0.4,0.86,,,,,,,,
Cote d'Ivoire,1955,14.1,,,,,,0.6,0.91,,,,,,,,
Cote d'Ivoire,1960,17.5,,,,,,0.7,0.99,,,,,,,,
Cote d'Ivoire,1965,21.6,,,,,,0.9,1.09,,,,,,,,
Cote d'Ivoire,1970,26.2,,,,,,1.1,1.33,,,,,,,,
Cote d'Ivoire,1975,31.5,,,,,,1.4,1.76,,,,,,,,
Cote d'Ivoire,1980,37.3,,,,,,1.7,2.13,,,,,,,,
Cote d'Ivoire,1985,43.6,,,,,,1.9,2.46,,,,,,,,
Cote d'Ivoire,1990,50,,,,,,1.8,2.79,,,,,,,,
Cote d'Ivoire,1995,52.4,,,,,,3.1,3.46,,,,,,,,
Cote d'Ivoire,2000,58.4,,,,,,4,4.06,,,,,,,,
Cote d'Ivoire,2005,56.6,,,,,,4.2,4.52,,,,,,,,
Cote d'Ivoire,2010,65,,,,,,4.2,4.93,,,,,,,,
Cuba,1820,0.7,,,,,,,,,,,,,,,
Cuba,1825,0.9,,,,,,,,,,,,,,,
Cuba,1830,1.1,,,,,,,,,,,,,,,
Cuba,1835,1.5,,,,,,,,,,,,,,,
Cuba,1840,1.9,,,,,,,,,,,,,,,
Cuba,1845,2.4,,,,,,,,,,,,,,,
Cuba,1850,3.1,,,,,,,,,,,,,,,
Cuba,1855,4,,,,,,,,,,,,,,,
Cuba,1860,5.1,,,,,,,,,,,,,,,
Cuba,1865,6.5,,,,,,,,,,,,,,,
Cuba,1870,8.3,,,,,,0,0.12,,,,,,,,
Cuba,1875,10.5,,,,,,0.1,0.16,,,,,,,,
Cuba,1880,13.1,,,,,,0.1,0.2,,,,,,,,
Cuba,1885,20.2,,,,,,0.1,0.25,,,,,,,,
Cuba,1890,27.2,,,,,,0.1,0.33,,,,,,,,
Cuba,1895,36.4,,,,,,0.2,0.44,,,,,,,,
Cuba,1900,45.5,,,,,,0.2,0.82,,,,,,,,
Cuba,1905,42,,,,,,0.3,1.32,,,,,,,,
Cuba,1910,38.4,,,,,,0.4,1.58,,,,,,,,
Cuba,1915,46.7,,,,,,0.4,2.03,,,,,,,,
Cuba,1920,55,,,,,,0.6,2.28,,,,,,,,
Cuba,1925,53.3,,,,,,0.6,2.61,,,,,,,,
Cuba,1930,51.7,,,,,,0.8,2.96,,,,,,,,
Cuba,1935,53.5,,,,,,0.9,3.16,,,,,,,,
Cuba,1940,55.2,,,,,,1,3.31,,,,,,,,
Cuba,1945,62.7,,,,,,1.1,3.42,,,,,,,,
Cuba,1950,70.1,,,,,,1.5,3.58,,,,,,,,
Cuba,1955,71.7,,,,,,1.5,3.66,,,,,,,,
Cuba,1960,66.2,,,,,,1.7,4.08,,,,,,,,
Cuba,1965,100,,,,,,2.1,4.55,,,,,,,,
Cuba,1970,100,,,,,,2.9,5.41,,,,,,,,
Cuba,1975,100,,,,,,3.8,6.48,,,,,,,,
Cuba,1980,98,,,,,,4.8,7.82,,,,,,,,
Cuba,1985,95,,,,,,6.1,8.64,,,,,,,,
Cuba,1990,94,,,,,,7.3,9.21,,,,,,,,
Cuba,1995,99,,,,,,8.4,9.58,,,,,,,,
Cuba,2000,99.6,,,,,,8.8,9.88,,,,,,,,
Cuba,2005,98.5,,,,,,13.5,10.36,,,,,,,,
Cuba,2010,100,,,,,,21.8,11.06,,,,,,,,
Cyprus,1820,2.4,,,,,,,,,,,,,,,
Cyprus,1825,3,,,,,,,,,,,,,,,
Cyprus,1830,3.6,,,,,,,,,,,,,,,
Cyprus,1835,4.5,,,,,,,,,,,,,,,
Cyprus,1840,5.4,,,,,,,,,,,,,,,
Cyprus,1845,6.6,,,,,,,,,,,,,,,
Cyprus,1850,8.1,,,,,,,,,,,,,,,
Cyprus,1855,9.8,,,,,,,,,,,,,,,
Cyprus,1860,11.8,,,,,,,,,,,,,,,
Cyprus,1865,14.2,,,,,,,,,,,,,,,
Cyprus,1870,17,,,,,,0,0.29,,,,,,,,
Cyprus,1875,20.1,,,,,,0,0.35,,,,,,,,
Cyprus,1880,23.8,,,,,,0,0.42,,,,,,,,
Cyprus,1885,34.4,,,,,,0,0.51,,,,,,,,
Cyprus,1890,45.1,,,,,,0,0.61,,,,,,,,
Cyprus,1895,52.3,,,,,,0,0.78,,,,,,,,
Cyprus,1900,59.4,,,,,,0.2,0.97,,,,,,,,
Cyprus,1905,68.5,,,,,,0.3,1.11,,,,,,,,
Cyprus,1910,79.9,,,,,,0.3,1.3,,,,,,,,
Cyprus,1915,92.3,,,,,,0.6,1.65,,,,,,,,
Cyprus,1920,100,,,,,,0.8,1.97,,,,,,,,
Cyprus,1925,100,,,,,,0.9,2.25,,,,,,,,
Cyprus,1930,100,,,,,,1.1,2.52,,,,,,,,
Cyprus,1935,93.6,,,,,,1.4,2.72,,,,,,,,
Cyprus,1940,93.5,,,,,,1.5,2.84,,,,,,,,
Cyprus,1945,93,,,,,,1.5,3.08,,,,,,,,
Cyprus,1950,100,,,,,,1.6,3.8,,,,,,,,
Cyprus,1955,100,,,,,,1.4,4.49,,,,,,,,
Cyprus,1960,94.2,,,,,,1.3,5.38,,,,,,,,
Cyprus,1965,84,,,,,,1.9,5.9,,,,,,,,
Cyprus,1970,77.7,,,,,,3.3,6.36,,,,,,,,
Cyprus,1975,93,,,,,,5.5,7.02,,,,,,,,
Cyprus,1980,93,,,,,,9.3,7.89,,,,,,,,
Cyprus,1985,88,,,,,,14,8.94,,,,,,,,
Cyprus,1990,100,,,,,,18.5,9.85,,,,,,,,
Cyprus,1995,100,,,,,,23.1,10.28,,,,,,,,
Cyprus,2000,97,,,,,,25.2,10.82,,,,,,,,
Cyprus,2005,100,,,,,,22.8,10.19,,,,,,,,
Cyprus,2010,100,,,,,,31.3,11.76,,,,,,,,
Czech Republic,1820,50.8,,,,,,,,,,,,,,,
Czech Republic,1825,53.2,,,,,,,,,,,,,,,
Czech Republic,1830,55.5,,,,,,,,,,,,,,,
Czech Republic,1835,57.8,,,,,,,,,,,,,,,
Czech Republic,1840,60.1,,,,,,,,,,,,,,,
Czech Republic,1845,62.3,,,,,,,,,,,,,,,
Czech Republic,1850,64.5,,,,,,,,,,,,,,,
Czech Republic,1855,66.6,,,,,,,,,,,,,,,
Czech Republic,1860,68.7,,,,,,,,,,,,,,,
Czech Republic,1865,70.6,,,,,,,,,,,,,,,
Czech Republic,1870,72.6,,,,,,0.1,3.14,,,,,,,,
Czech Republic,1875,74.4,,,,,,0.1,3.25,,,,,,,,
Czech Republic,1880,76.2,,,,,,0.2,3.36,,,,,,,,
Czech Republic,1885,77.9,,,,,,0.2,3.47,,,,,,,,
Czech Republic,1890,79.5,,,,,,0.3,3.59,,,,,,,,
Czech Republic,1895,81,,,,,,0.3,3.7,,,,,,,,
Czech Republic,1900,82.4,,,,,,0.4,3.82,,,,,,,,
Czech Republic,1905,83.8,,,,,,0.5,4.13,,,,,,,,
Czech Republic,1910,85.1,,,,,,0.6,4.38,,,,,,,,
Czech Republic,1915,86.3,,,,,,0.7,4.61,,,,,,,,
Czech Republic,1920,87.5,,,,,,0.6,4.79,,,,,,,,
Czech Republic,1925,79.1,,,,,,0.7,5.13,,,,,,,,
Czech Republic,1930,95.2,,,,,,0.7,5.4,,,,,,,,
Czech Republic,1935,94.2,,,,,,0.9,5.7,,,,,,,,
Czech Republic,1940,61,,,,,,1.1,6.01,,,,,,,,
Czech Republic,1945,97.9,,,,,,1.5,6.3,,,,,,,,
Czech Republic,1950,100,,,,,,1.8,6.61,,,,,,,,
Czech Republic,1955,100,,,,,,2.1,6.78,,,,,,,,
Czech Republic,1960,89.3,,,,,,2.1,6.94,,,,,,,,
Czech Republic,1965,95,,,,,,3.3,7.65,,,,,,,,
Czech Republic,1970,93.1,,,,,,3.6,8.45,,,,,,,,
Czech Republic,1975,94.1,,,,,,5.3,9.07,,,,,,,,
Czech Republic,1980,90.2,,,,,,5.8,9.5,,,,,,,,
Czech Republic,1985,97,,,,,,10.4,9.86,,,,,,,,
Czech Republic,1990,92.1,,,,,,12.9,10.44,,,,,,,,
Czech Republic,1995,92.1,,,,,,11.9,12.23,,,,,,,,
Czech Republic,2000,100,,,,,,10.7,12.78,,,,,,,,
Czech Republic,2005,98.9,,,,,,11.4,12.81,,,,,,,,
Czech Republic,2010,100,,,,,,15.7,12.8,,,,,,,,
Democratic Republic of Congo,1820,0,,,,,,,,,,,,,,,
Democratic Republic of Congo,1825,0,,,,,,,,,,,,,,,
Democratic Republic of Congo,1830,0,,,,,,,,,,,,,,,
Democratic Republic of Congo,1835,0,,,,,,,,,,,,,,,
Democratic Republic of Congo,1840,0,,,,,,,,,,,,,,,
Democratic Republic of Congo,1845,0,,,,,,,,,,,,,,,
Democratic Republic of Congo,1850,0,,,,,,,,,,,,,,,
Democratic Republic of Congo,1855,0,,,,,,,,,,,,,,,
Democratic Republic of Congo,1860,0,,,,,,,,,,,,,,,
Democratic Republic of Congo,1865,0,,,,,,,,,,,,,,,
Democratic Republic of Congo,1870,0,,,,,,0,0.01,,,,,,,,
Democratic Republic of Congo,1875,0,,,,,,0,0.01,,,,,,,,
Democratic Republic of Congo,1880,0,,,,,,0,0.01,,,,,,,,
Democratic Republic of Congo,1885,0,,,,,,0,0.01,,,,,,,,
Democratic Republic of Congo,1890,0,,,,,,0,0.01,,,,,,,,
Democratic Republic of Congo,1895,0.1,,,,,,0,0.01,,,,,,,,
Democratic Republic of Congo,1900,0.3,,,,,,0,0.02,,,,,,,,
Democratic Republic of Congo,1905,0.5,,,,,,0,0.03,,,,,,,,
Democratic Republic of Congo,1910,1,,,,,,0,0.03,,,,,,,,
Democratic Republic of Congo,1915,1.8,,,,,,0,0.24,,,,,,,,
Democratic Republic of Congo,1920,3,,,,,,0,0.25,,,,,,,,
Democratic Republic of Congo,1925,4.8,,,,,,0,0.26,,,,,,,,
Democratic Republic of Congo,1930,7.5,,,,,,0,0.3,,,,,,,,
Democratic Republic of Congo,1935,9.1,,,,,,0,0.34,,,,,,,,
Democratic Republic of Congo,1940,10.6,,,,,,0,0.41,,,,,,,,
Democratic Republic of Congo,1945,25.9,,,,,,0,0.49,,,,,,,,
Democratic Republic of Congo,1950,41.2,,,,,,0,0.62,,,,,,,,
Democratic Republic of Congo,1955,46.3,,,,,,0,0.72,,,,,,,,
Democratic Republic of Congo,1960,43,,,,,,0,0.89,,,,,,,,
Democratic Republic of Congo,1965,50.1,,,,,,0.1,1.08,,,,,,,,
Democratic Republic of Congo,1970,63,,,,,,0.2,1.32,,,,,,,,
Democratic Republic of Congo,1975,63,,,,,,0.4,1.65,,,,,,,,
Democratic Republic of Congo,1980,66.9,,,,,,0.5,2.16,,,,,,,,
Democratic Republic of Congo,1985,63.7,,,,,,0.7,2.87,,,,,,,,
Democratic Republic of Congo,1990,54,,,,,,1,3.32,,,,,,,,
Democratic Republic of Congo,1995,61,,,,,,1.3,3.53,,,,,,,,
Democratic Republic of Congo,2000,44.8,,,,,,1.2,3.52,,,,,,,,
Democratic Republic of Congo,2005,78.2,,,,,,1,3.63,,,,,,,,
Democratic Republic of Congo,2010,88.5,,,,,,0.9,3.79,,,,,,,,
Denmark,1820,84.9,,,,,,,,,,,,,,,
Denmark,1825,86.3,,,,,,,,,,,,,,,
Denmark,1830,87.7,,,,,,,,,,,,,,,
Denmark,1835,88.9,,,,,,,,,,,,,,,
Denmark,1840,90,,,,,,,,,,,,,,,
Denmark,1845,91,,,,,,,,,,,,,,,
Denmark,1850,92,,,,,,,,,,,,,,,
Denmark,1855,92.8,,,,,,,,,,,,,,,
Denmark,1860,93.6,,,,,,,,,,,,,,,
Denmark,1865,94.3,,,,,,,,,,,,,,,
Denmark,1870,95,,,,,,0,2.45,,,,,,,,
Denmark,1875,97.5,,,,,,0,2.5,,,,,,,,
Denmark,1880,100,,,,,,0.1,2.56,,,,,,,,
Denmark,1885,100,,,,,,0.1,2.63,,,,,,,,
Denmark,1890,100,,,,,,0.1,2.71,,,,,,,,
Denmark,1895,100,,,,,,0.1,2.78,,,,,,,,
Denmark,1900,100,,,,,,0.1,2.84,,,,,,,,
Denmark,1905,100,,,,,,0.1,2.91,,,,,,,,
Denmark,1910,100,,,,,,0.1,3.17,,,,,,,,
Denmark,1915,100,,,,,,0.2,3.39,,,,,,,,
Denmark,1920,100,,,,,,0.2,3.64,,,,,,,,
Denmark,1925,100,,,,,,0.3,3.93,,,,,,,,
Denmark,1930,100,,,,,,1,4.26,,,,,,,,
Denmark,1935,100,,,,,,1.6,4.59,,,,,,,,
Denmark,1940,100,,,,,,2.2,4.89,,,,,,,,
Denmark,1945,100,,,,,,2.8,5.34,,,,,,,,
Denmark,1950,100,,,,,,3.3,5.63,,,,,,,,
Denmark,1955,100,,,,,,5.4,4.78,,,,,,,,
Denmark,1960,100,,,,,,6.3,5.3,,,,,,,,
Denmark,1965,98,,,,,,8.2,6.06,,,,,,,,
Denmark,1970,96,,,,,,11.2,7.19,,,,,,,,
Denmark,1975,100,,,,,,12.2,8.01,,,,,,,,
Denmark,1980,96,,,,,,14.1,8.85,,,,,,,,
Denmark,1985,98,,,,,,18,9.59,,,,,,,,
Denmark,1990,96,,,,,,17.2,10.48,,,,,,,,
Denmark,1995,100,,,,,,19.4,11.04,,,,,,,,
Denmark,2000,100,,,,,,23.1,11.5,,,,,,,,
Denmark,2005,99,,,,,,26.8,11.81,,,,,,,,
Denmark,2010,100,,,,,,27.3,11.97,,,,,,,,
Dominican Republic,1820,0.2,,,,,,,,,,,,,,,
Dominican Republic,1825,0.2,,,,,,,,,,,,,,,
Dominican Republic,1830,0.3,,,,,,,,,,,,,,,
Dominican Republic,1835,0.3,,,,,,,,,,,,,,,
Dominican Republic,1840,0.4,,,,,,,,,,,,,,,
Dominican Republic,1845,0.5,,,,,,,,,,,,,,,
Dominican Republic,1850,0.7,,,,,,,,,,,,,,,
Dominican Republic,1855,1.9,,,,,,,,,,,,,,,
Dominican Republic,1860,3.2,,,,,,,,,,,,,,,
Dominican Republic,1865,4.4,,,,,,,,,,,,,,,
Dominican Republic,1870,5.9,,,,,,0,0.07,,,,,,,,
Dominican Republic,1875,7.5,,,,,,0,0.1,,,,,,,,
Dominican Republic,1880,8.5,,,,,,0,0.14,,,,,,,,
Dominican Republic,1885,8.3,,,,,,0,0.19,,,,,,,,
Dominican Republic,1890,9.1,,,,,,0,0.22,,,,,,,,
Dominican Republic,1895,10.8,,,,,,0,0.26,,,,,,,,
Dominican Republic,1900,12.5,,,,,,0,0.29,,,,,,,,
Dominican Republic,1905,12.2,,,,,,0.1,0.7,,,,,,,,
Dominican Republic,1910,12.5,,,,,,0.3,1.06,,,,,,,,
Dominican Republic,1915,12.6,,,,,,0.3,1.3,,,,,,,,
Dominican Republic,1920,45.7,,,,,,0.4,1.53,,,,,,,,
Dominican Republic,1925,37,,,,,,0.4,1.85,,,,,,,,
Dominican Republic,1930,30.8,,,,,,0.5,2.21,,,,,,,,
Dominican Republic,1935,30.6,,,,,,0.5,2.3,,,,,,,,
Dominican Republic,1940,35.5,,,,,,0.6,2.3,,,,,,,,
Dominican Republic,1945,52.6,,,,,,0.7,2.39,,,,,,,,
Dominican Republic,1950,52,,,,,,0.7,2.53,,,,,,,,
Dominican Republic,1955,84.5,,,,,,0.8,2.58,,,,,,,,
Dominican Republic,1960,53.7,,,,,,0.8,2.78,,,,,,,,
Dominican Republic,1965,47.7,,,,,,1.3,3.15,,,,,,,,
Dominican Republic,1970,54.8,,,,,,2,3.74,,,,,,,,
Dominican Republic,1975,57,,,,,,3,4.3,,,,,,,,
Dominican Republic,1980,62.5,,,,,,4.6,4.98,,,,,,,,
Dominican Republic,1985,68,,,,,,6.6,5.58,,,,,,,,
Dominican Republic,1990,75,,,,,,9.6,6.13,,,,,,,,
Dominican Republic,1995,85.5,,,,,,11.8,6.58,,,,,,,,
Dominican Republic,2000,100,,,,,,14.3,7.03,,,,,,,,
Dominican Republic,2005,96.5,,,,,,16.7,7.54,,,,,,,,
Dominican Republic,2010,99.2,,,,,,12.2,8.12,,,,,,,,
Eastern Europe,1870,,,,,,,,,,,,,,,,67.97205
Eastern Europe,1875,,,,,,,,,,,,,,,,68.00023
Eastern Europe,1880,,,,,,,,,,,,,,,,68.99456
Eastern Europe,1885,,,,,,,,,,,,,,,,69.17495
Eastern Europe,1890,,,,,,,,,,,,,,,,70.70409
Eastern Europe,1895,,,,,,,,,,,,,,,,73.32612
Eastern Europe,1900,,,,,,,,,,,,,,,,68.64681
Eastern Europe,1905,,,,,,,,,,,,,,,,65.59886
Eastern Europe,1910,,,,,,,,,,,,,,,,67.64238
Eastern Europe,1915,,,,,,,,,,,,,,,,67.96551
Eastern Europe,1920,,,,,,,,,,,,,,,,71.04899
Eastern Europe,1925,,,,,,,,,,,,,,,,75.63246
Eastern Europe,1930,,,,,,,,,,,,,,,,79.10544
Eastern Europe,1935,,,,,,,,,,,,,,,,81.43148
Eastern Europe,1940,,,,,,,,,,,,,,,,80.83611
Eastern Europe,1945,,,,,,,,,,,,,,,,81.20117
Eastern Europe,1950,,,,,,,,,,,,,,,,81.39036
Eastern Europe,1955,,,,,,,,,,,,,,,,82.2713
Eastern Europe,1960,,,,,,,,,,,,,,,,83.69839
Eastern Europe,1965,,,,,,,,,,,,,,,,83.16256
Eastern Europe,1970,,,,,,,,,,,,,,,,85.20955
Eastern Europe,1975,,,,,,,,,,,,,,,,88.23953
Eastern Europe,1980,,,,,,,,,,,,,,,,91.0499
Eastern Europe,1985,,,,,,,,,,,,,,,,92.59751
Eastern Europe,1990,,,,,,,,,,,,,,,,95.19833
Eastern Europe,1995,,,,,,,,,,,,,,,,99.5089
Eastern Europe,2000,,,,,,,,,,,,,,,,100.0765
Eastern Europe,2005,,,,,,,,,,,,,,,,100.8708
Eastern Europe,2010,,,,,,,,,,,,,,,,101.281
Ecuador,1820,1.1,,,,,,,,,,,,,,,
Ecuador,1825,1.5,,,,,,,,,,,,,,,
Ecuador,1830,1.9,,,,,,,,,,,,,,,
Ecuador,1835,2.4,,,,,,,,,,,,,,,
Ecuador,1840,3,,,,,,,,,,,,,,,
Ecuador,1845,3.8,,,,,,,,,,,,,,,
Ecuador,1850,4.8,,,,,,,,,,,,,,,
Ecuador,1855,6.1,,,,,,,,,,,,,,,
Ecuador,1860,7.6,,,,,,,,,,,,,,,
Ecuador,1865,9.6,,,,,,,,,,,,,,,
Ecuador,1870,11.9,,,,,,0,0.19,,,,,,,,
Ecuador,1875,14.7,,,,,,0,0.24,,,,,,,,
Ecuador,1880,18.1,,,,,,0,0.3,,,,,,,,
Ecuador,1885,22,,,,,,0,0.37,,,,,,,,
Ecuador,1890,26.6,,,,,,0,0.45,,,,,,,,
Ecuador,1895,26.5,,,,,,0,0.56,,,,,,,,
Ecuador,1900,26.5,,,,,,0.2,0.9,,,,,,,,
Ecuador,1905,26.5,,,,,,0.3,1.04,,,,,,,,
Ecuador,1910,34.2,,,,,,0.3,1.25,,,,,,,,
Ecuador,1915,22.7,,,,,,0.3,1.42,,,,,,,,
Ecuador,1920,34.1,,,,,,0.4,1.58,,,,,,,,
Ecuador,1925,39.5,,,,,,0.5,1.68,,,,,,,,
Ecuador,1930,45,,,,,,0.5,1.86,,,,,,,,
Ecuador,1935,51.7,,,,,,0.6,2.08,,,,,,,,
Ecuador,1940,57.7,,,,,,0.6,2.23,,,,,,,,
Ecuador,1945,63.8,,,,,,0.7,2.43,,,,,,,,
Ecuador,1950,58.5,,,,,,0.8,2.62,,,,,,,,
Ecuador,1955,68.1,,,,,,1,2.93,,,,,,,,
Ecuador,1960,66.6,,,,,,1.2,3.29,,,,,,,,
Ecuador,1965,73,,,,,,1.8,4,,,,,,,,
Ecuador,1970,79,,,,,,2.5,4.55,,,,,,,,
Ecuador,1975,78,,,,,,3.3,5.07,,,,,,,,
Ecuador,1980,86.2,,,,,,7.5,6.35,,,,,,,,
Ecuador,1985,87,,,,,,10.6,6.76,,,,,,,,
Ecuador,1990,88.5,,,,,,12.3,7.23,,,,,,,,
Ecuador,1995,92,,,,,,13.8,7.32,,,,,,,,
Ecuador,2000,100,,,,,,15.1,7.41,,,,,,,,
Ecuador,2005,100,,,,,,13.6,7.7,,,,,,,,
Ecuador,2010,100,,,,,,10,8.02,,,,,,,,
Egypt,1820,0.1,,,,,,,,,,,,,,,
Egypt,1825,0.1,,,,,,,,,,,,,,,
Egypt,1830,0.1,,,,,,,,,,,,,,,
Egypt,1835,0.1,,,,,,,,,,,,,,,
Egypt,1840,0.2,,,,,,,,,,,,,,,
Egypt,1845,0.2,,,,,,,,,,,,,,,
Egypt,1850,0.3,,,,,,,,,,,,,,,
Egypt,1855,0.5,,,,,,,,,,,,,,,
Egypt,1860,0.6,,,,,,,,,,,,,,,
Egypt,1865,0.8,,,,,,,,,,,,,,,
Egypt,1870,1.1,,,,,,0,0.02,,,,,,,,
Egypt,1875,1.5,,,,,,0,0.02,,,,,,,,
Egypt,1880,2,,,,,,0,0.03,,,,,,,,
Egypt,1885,2.6,,,,,,0,0.04,,,,,,,,
Egypt,1890,3.5,,,,,,0,0.05,,,,,,,,
Egypt,1895,4.7,,,,,,0,0.07,,,,,,,,
Egypt,1900,6.2,,,,,,0,0.09,,,,,,,,
Egypt,1905,8.2,,,,,,0,0.12,,,,,,,,
Egypt,1910,10.8,,,,,,0,0.16,,,,,,,,
Egypt,1915,18.7,,,,,,0,0.22,,,,,,,,
Egypt,1920,15.7,,,,,,0.1,0.31,,,,,,,,
Egypt,1925,19.1,,,,,,0.3,0.41,,,,,,,,
Egypt,1930,32.8,,,,,,0.4,0.46,,,,,,,,
Egypt,1935,45.6,,,,,,0.4,0.3,,,,,,,,
Egypt,1940,47.4,,,,,,0.5,0.36,,,,,,,,
Egypt,1945,41.8,,,,,,0.6,0.42,,,,,,,,
Egypt,1950,43.7,,,,,,1.1,0.54,,,,,,,,
Egypt,1955,39.7,,,,,,1.5,0.7,,,,,,,,
Egypt,1960,60,,,,,,1.8,0.85,,,,,,,,
Egypt,1965,69,,,,,,2.3,1.11,,,,,,,,
Egypt,1970,67,,,,,,2.7,1.41,,,,,,,,
Egypt,1975,72,,,,,,2.7,1.82,,,,,,,,
Egypt,1980,81.9,,,,,,3.8,2.8,,,,,,,,
Egypt,1985,83.8,,,,,,3.8,3.92,,,,,,,,
Egypt,1990,99.6,,,,,,3.5,4.6,,,,,,,,
Egypt,1995,92,,,,,,4.1,5.36,,,,,,,,
Egypt,2000,95.4,,,,,,8,6.3,,,,,,,,
Egypt,2005,100,,,,,,10.1,6.93,,,,,,,,
Egypt,2010,100,,,,,,12.4,7.44,,,,,,,,
El Salvador,1820,1.5,,,,,,,,,,,,,,,
El Salvador,1825,1.9,,,,,,,,,,,,,,,
El Salvador,1830,2.3,,,,,,,,,,,,,,,
El Salvador,1835,2.9,,,,,,,,,,,,,,,
El Salvador,1840,3.5,,,,,,,,,,,,,,,
El Salvador,1845,4.4,,,,,,,,,,,,,,,
El Salvador,1850,5.4,,,,,,,,,,,,,,,
El Salvador,1855,6.7,,,,,,,,,,,,,,,
El Salvador,1860,8.2,,,,,,,,,,,,,,,
El Salvador,1865,10,,,,,,,,,,,,,,,
El Salvador,1870,12.2,,,,,,0,0.22,,,,,,,,
El Salvador,1875,14.7,,,,,,0,0.27,,,,,,,,
El Salvador,1880,17.7,,,,,,0,0.34,,,,,,,,
El Salvador,1885,21.2,,,,,,0,0.42,,,,,,,,
El Salvador,1890,21.3,,,,,,0,0.51,,,,,,,,
El Salvador,1895,21.6,,,,,,0,0.6,,,,,,,,
El Salvador,1900,20.5,,,,,,0.2,0.82,,,,,,,,
El Salvador,1905,19.7,,,,,,0.2,0.92,,,,,,,,
El Salvador,1910,21.8,,,,,,0.2,1.15,,,,,,,,
El Salvador,1915,22.7,,,,,,0.2,1.21,,,,,,,,
El Salvador,1920,25,,,,,,0.3,1.28,,,,,,,,
El Salvador,1925,19.6,,,,,,0.3,1.35,,,,,,,,
El Salvador,1930,17.6,,,,,,0.3,1.41,,,,,,,,
El Salvador,1935,24.9,,,,,,0.3,1.41,,,,,,,,
El Salvador,1940,31.5,,,,,,0.3,1.41,,,,,,,,
El Salvador,1945,32.3,,,,,,0.4,1.54,,,,,,,,
El Salvador,1950,42.5,,,,,,0.4,1.55,,,,,,,,
El Salvador,1955,50.5,,,,,,0.4,1.7,,,,,,,,
El Salvador,1960,59.5,,,,,,0.4,1.98,,,,,,,,
El Salvador,1965,61,,,,,,1.1,2.41,,,,,,,,
El Salvador,1970,67,,,,,,1.9,2.9,,,,,,,,
El Salvador,1975,67.4,,,,,,3.6,3.37,,,,,,,,
El Salvador,1980,66.5,,,,,,4.3,3.74,,,,,,,,
El Salvador,1985,62.9,,,,,,7.2,4.57,,,,,,,,
El Salvador,1990,71,,,,,,6.2,5.08,,,,,,,,
El Salvador,1995,81,,,,,,8.2,5.8,,,,,,,,
El Salvador,2000,97.1,,,,,,9.4,7.04,,,,,,,,
El Salvador,2005,100,,,,,,10.2,8.08,,,,,,,,
El Salvador,2010,100,,,,,,5.3,8.06,,,,,,,,
Fiji,1820,0,,,,,,,,,,,,,,,
Fiji,1825,0,,,,,,,,,,,,,,,
Fiji,1830,0,,,,,,,,,,,,,,,
Fiji,1835,0,,,,,,,,,,,,,,,
